config_batch_size,config_context_terms,config_demand_power,config_depth,config_dropout,config_epochs,config_hidden_size,config_learning_rate,config_loss,config_mu,config_n_samples,config_rho,config_run_id,config_seed,config_sigma,config_solver,config_test_fraction,config_tolerance_absolute_floor,config_tolerance_relative,config_validation_fraction
64,3,1.0,2,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0156_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0157_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0158_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0159_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0160_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0161_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0162_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0163_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0164_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.0,100,64,0.001,mse_scen,0.0,2000,0.0,run_0165_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0166_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0167_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,3,0.1,100,64,0.001,mse_scen,0.0,2000,0.0,run_0168_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0169_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0170_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0171_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.001,mse_scen,0.0,2000,0.0,run_0172_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.001,mse_scen,0.0,2000,0.0,run_0173_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
32,3,1.0,2,0.1,100,128,0.001,mse_scen,0.0,2000,0.0,run_0174_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0175_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0176_seed2,2,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.0,100,128,0.001,mse_scen,0.0,2000,0.0,run_0177_seed3,3,5.0,highs,0.15,1.0,0.1,0.15
64,3,1.0,2,0.1,100,128,0.001,mse_scen,0.0,2000,0.0,run_0178_seed1,1,5.0,highs,0.15,1.0,0.1,0.15
